epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.29592,1.529,4.38764,1.64731,0,0,0,0,1.67195,4.52143,2.02365,6.9e-06,6.9e-06,6.9e-06
2,14.2754,1.60278,4.46363,1.68459,0,0,0,0,1.65035,4.49654,1.98359,1.69084e-05,1.69084e-05,1.69084e-05
3,21.0615,1.40496,4.41665,1.51199,0,0,0,0,1.59755,4.48956,1.92,2.6507e-05,2.6507e-05,2.6507e-05
4,28.5565,1.41712,4.40149,1.52967,0,0,0,0,1.55523,4.46975,1.90795,3.56958e-05,3.56958e-05,3.56958e-05
5,35.9092,1.39206,4.3146,1.51708,0,0,0,0,1.52292,4.4524,1.8721,4.44746e-05,4.44746e-05,4.44746e-05
6,43.3712,1.3182,4.29215,1.47029,0,0,0,0,1.52838,4.36736,1.77301,5.28437e-05,5.28437e-05,5.28437e-05
7,50.9988,1.2079,4.19696,1.38238,0,0,0,0,1.4891,4.33582,1.6915,6.08028e-05,6.08028e-05,6.08028e-05
8,58.5573,1.33638,4.33676,1.43739,0,0,0,0,1.50593,4.29546,1.66323,6.83521e-05,6.83521e-05,6.83521e-05
9,69.3884,1.35352,4.23041,1.48461,0,0,0,0,1.50731,4.2544,1.59029,7.54915e-05,7.54915e-05,7.54915e-05
10,81.1779,1.29494,4.20056,1.37165,0,0,0,0,1.47665,4.21232,1.50085,8.22211e-05,8.22211e-05,8.22211e-05
11,90.339,1.22394,4.19813,1.36561,0,0,0,0,1.46815,4.20525,1.48694,8.85408e-05,8.85408e-05,8.85408e-05
12,97.8816,1.21837,4.05688,1.30959,0,0,0,0,1.44712,4.1672,1.42376,9.44506e-05,9.44506e-05,9.44506e-05
13,105.488,1.21643,4.10989,1.32399,0,0,0,0,1.39943,4.14382,1.38002,9.99506e-05,9.99506e-05,9.99506e-05
14,113.239,1.1792,3.999,1.24786,0,0,0,0,1.33107,4.11564,1.34557,0.000105041,0.000105041,0.000105041
15,120.846,1.22172,4.04418,1.27665,0,0,0,0,1.33107,4.11564,1.34557,0.000109721,0.000109721,0.000109721
16,128.554,1.19059,3.89446,1.23895,0,0,0,0,1.25582,4.09035,1.29331,0.000113991,0.000113991,0.000113991
17,137.127,1.09618,3.91171,1.24511,0.04,0.01333,0.02667,0.02133,1.20869,4.07036,1.25016,0.000117852,0.000117852,0.000117852
18,144.903,1.1123,3.79126,1.24917,0.04,0.01333,0.02667,0.02133,1.20869,4.07036,1.25016,0.000121303,0.000121303,0.000121303
19,153.021,1.18324,3.76507,1.25532,0.11,0.09111,0.10849,0.09186,1.16153,4.03279,1.21413,0.000124344,0.000124344,0.000124344
20,161.827,1.16679,3.97935,1.20162,0.17767,0.29667,0.25368,0.18405,1.12203,4.00902,1.2084,0.000126974,0.000126974,0.000126974
21,169.693,1.10046,3.68337,1.23102,0.17767,0.29667,0.25368,0.18405,1.12203,4.00902,1.2084,0.000129196,0.000129196,0.000129196
22,177.597,0.97397,3.55181,1.13178,0.17471,0.51333,0.3474,0.25915,1.06466,3.95803,1.18509,0.000131007,0.000131007,0.000131007
23,185.397,0.97373,3.53245,1.10273,0.17471,0.51333,0.3474,0.25915,1.06466,3.95803,1.18509,0.000132408,0.000132408,0.000132408
24,192.908,1.04446,3.48353,1.17654,0.13209,0.64667,0.41324,0.30604,1.03952,3.85832,1.17902,0.0001334,0.0001334,0.0001334
25,200.645,1.05005,3.53587,1.17389,0.13209,0.64667,0.41324,0.30604,1.03952,3.85832,1.17902,0.000133981,0.000133981,0.000133981
26,208.412,1.09695,3.50789,1.18997,0.13194,0.89,0.52061,0.39831,0.99492,3.75037,1.18777,0.000134153,0.000134153,0.000134153
27,216.092,1.04711,3.52709,1.17235,0.13194,0.89,0.52061,0.39831,0.99492,3.75037,1.18777,0.000133915,0.000133915,0.000133915
28,223.741,1.05267,3.39265,1.20532,0.08132,0.91667,0.53484,0.41775,0.98361,3.59277,1.18479,0.000133267,0.000133267,0.000133267
29,231.126,0.94079,3.3761,1.13351,0.08132,0.91667,0.53484,0.41775,0.98361,3.59277,1.18479,0.00013221,0.00013221,0.00013221
30,238.484,1.0645,3.39012,1.17946,0.08132,0.91667,0.53484,0.41775,0.98361,3.59277,1.18479,0.000130742,0.000130742,0.000130742
31,245.959,1.06306,3.54059,1.20783,0.0562,0.95,0.5506,0.44998,0.97304,3.44027,1.17864,0.000128864,0.000128864,0.000128864
32,254.251,1.03429,3.43138,1.16051,0.0562,0.95,0.5506,0.44998,0.97304,3.44027,1.17864,0.000126577,0.000126577,0.000126577
33,262.182,0.9816,3.2628,1.14946,0.95576,0.14,0.57787,0.47258,0.97465,3.2718,1.17914,0.00012388,0.00012388,0.00012388
34,269.936,0.92791,3.23643,1.16122,0.95576,0.14,0.57787,0.47258,0.97465,3.2718,1.17914,0.000119577,0.000119577,0.000119577
35,277.482,1.05271,3.23529,1.25431,0.95576,0.14,0.57787,0.47258,0.97465,3.2718,1.17914,0.000112746,0.000112746,0.000112746
36,285.531,0.99801,3.30041,1.1255,0.90289,0.19539,0.61493,0.50279,0.97261,3.08414,1.15496,0.000105915,0.000105915,0.000105915
37,293.492,1.11938,3.16477,1.2844,0.90289,0.19539,0.61493,0.50279,0.97261,3.08414,1.15496,9.9084e-05,9.9084e-05,9.9084e-05
38,301.181,0.91105,3.14002,1.10842,0.90289,0.19539,0.61493,0.50279,0.97261,3.08414,1.15496,9.2253e-05,9.2253e-05,9.2253e-05
39,309.063,1.00724,3.10213,1.18888,0.82202,0.34729,0.64378,0.53669,0.9597,2.93096,1.14883,8.5422e-05,8.5422e-05,8.5422e-05
40,316.949,1.01786,3.15789,1.20819,0.82202,0.34729,0.64378,0.53669,0.9597,2.93096,1.14883,7.8591e-05,7.8591e-05,7.8591e-05
41,325.125,0.92855,2.83222,1.12382,0.79346,0.37333,0.64031,0.54527,0.92777,2.75777,1.13395,7.176e-05,7.176e-05,7.176e-05
42,333.157,0.89267,2.75567,1.14821,0.79346,0.37333,0.64031,0.54527,0.92777,2.75777,1.13395,6.4929e-05,6.4929e-05,6.4929e-05
43,341.052,0.90321,3.03587,1.18234,0.79346,0.37333,0.64031,0.54527,0.92777,2.75777,1.13395,5.8098e-05,5.8098e-05,5.8098e-05
44,349.149,0.92971,2.74984,1.13197,0.90826,0.35281,0.65582,0.56903,0.88809,2.61434,1.13174,5.1267e-05,5.1267e-05,5.1267e-05
45,358.786,0.89349,2.79408,1.08294,0.90826,0.35281,0.65582,0.56903,0.88809,2.61434,1.13174,4.4436e-05,4.4436e-05,4.4436e-05
46,369.118,0.9867,2.85988,1.18705,0.90826,0.35281,0.65582,0.56903,0.88809,2.61434,1.13174,3.7605e-05,3.7605e-05,3.7605e-05
47,379.865,0.85347,2.70723,1.13009,0.92913,0.36,0.66163,0.57884,0.84518,2.52873,1.1317,3.0774e-05,3.0774e-05,3.0774e-05
48,390.093,0.88919,2.74452,1.15223,0.92913,0.36,0.66163,0.57884,0.84518,2.52873,1.1317,2.3943e-05,2.3943e-05,2.3943e-05
49,402.409,0.8319,2.55228,1.15114,0.92518,0.36,0.64892,0.56518,0.81532,2.49169,1.12569,1.7112e-05,1.7112e-05,1.7112e-05
